name,categoryId,unitId
1 Pcs Laddoo Special Box,12,3
2 Pcs Laddoo Special Box,12,3
3 Pcs Laddoo Special Box,12,3
4 Pcs Laddoo Special Box,12,3
Achari Mathari,10,2
Akhrot,3,1
Akhrot Barfi,8,1
Alsi Laddoo,2,1
Amawat Laddoo,2,1
Angoori Petha,11,1
Anjeer,3,1
Anjeer Diamond,8,1
Anjeer Gilori,7,1
Anjeer Gilori,8,1
Anjeer Gujhiya,7,1
Anjeer Gujhiya,8,1
Anjeer Roll,7,1
Badam,3,1
Badam Bahar Barfi,7,1
Badam Barfi,8,1
Badam Halwa,5,1
Badam Milk Shake,15,4
Badshah Basant,8,1
Balu Shahi,2,1
Bari Bundi,2,1
Basant Bahar,8,1
Basket Chaat,13,3
Battisha,2,1
Besan Laddoo,2,1
Bhalla Papri,13,3
Bundi Laddoo,2,1
Chamcham,1,1
Chana Bite,2,1
Chana Mewa Laddoo,2,1
Chandra Kala,2,1
Chhena Chap,1,1
Chhena Cup,1,3
Chhena Mix,9,1
Chhena Phool,1,1
Chhena Roll,1,3
Chhena Roll,1,1
Chhena Sandwich,1,1
Chhola Samosa,13,3
Chikki Mix,9,1
Chiwda Namkeen,10,2
Chocolate Barfi,7,1
Chocolate Gajak,4,1
Chocolate Punjab Bahar,7,1
Chocolate Sohan Roll,8,1
Chuara,3,1
Coconut Laddoo,2,1
Cutlet,13,3
Dahi Bada,13,3
Dahi Bhalla,13,3
Dahi Tikki,13,3
Dal Biji Namkeen,10,2
Dil Bahar Barfi,7,1
Dil Khush Barfi,8,1
Dil Kush Barfi,7,1
Doda Barfi,7,1
Dudhiya Barfi,7,1
Elaichi Peda,7,1
Falhari Namkeen,10,2
Feni,2,1
Fruit Laddoo,8,1
Gajak Biscuit,4,1
Gajak Cone,4,1
Gajak Gujhiya,4,1
Gajak Roll,4,1
Gajar Halwa,5,1
Gathiya Sev,10,2
Ghevar Malai,2,1
Ghevar Sada,2,1
Gond Laddoo,2,1
Gulab Chikki,8,1
Gulab Jamun,1,3
Gulab Mewa Laddoo,8,1
Gulab Rasgulla,1,3
Half Dahi Bhalla,13,3
Half Dahi Tikki,13,3
Hara Mewa Laddoo,2,1
Hari Namkeen,10,2
Heeng Papdi Namkeen,10,2
Imarti,2,1
Irani Laddoo,2,1
Jodhpuri Laddoo,2,1
Kaju,3,1
Kaju Anjeer Barfi,8,1
Kaju Badam Kadam,8,1
Kaju Badamkali,8,1
Kaju Barfi,8,1
Kaju Biscuit,8,1
Kaju Chocolate Bite,8,1
Kaju Chocolate Laddoo,8,1
Kaju Diamond,8,1
Kaju Diya,8,1
Kaju Gujhiya,8,1
Kaju Gulkand Cone,8,1
Kaju Jalebi,8,1
Kaju Kadam,8,1
Kaju Kalash,8,1
Kaju Kamal,8,1
Kaju Keshar Barfi,8,1
Kaju Keshar Pista Barfi,8,1
Kaju Khaskhas,8,1
Kaju Kheeni,8,1
Kaju Kundal,8,1
Kaju Lemon,8,1
Kaju Mango,8,1
Kaju Masala,10,2
Kaju Mewa Bite,8,1
Kaju Mix,9,1
Kaju Navrang,8,1
Kaju Orange Sohan Halwa,8,1
Kaju Phool,8,1
Kaju Pista Cone,8,1
Kaju Pista Kadam,8,1
Kaju Pista Phool,8,1
Kaju Rose,8,1
Kaju Salted,10,2
Kaju Samosa,8,1
Kaju Sohan Halwa,8,1
Kaju Star,8,1
Kaju Sunflower,8,1
Kaju Teen Patti,8,1
Kaju Tirangi Barfi,8,1
Kala Jamun,1,1
Karachi Halwa,7,1
Karam Shahi Barfi,7,1
Karela Namkeen,10,2
Keshar Bhog,1,3
Keshar Peda,7,1
Keshariya Kulfi,6,1
Keshariya Kulfi Pack,6,1
Khaja,12,1
Khajur Laddoo,8,1
Khasta,10,2
Khasta Dam Aloo,13,3
Kheer Kadam,1,1
Kheer Mohan,1,1
Khoya Chocolate Barfi,7,1
Khoya Cutlet,7,1
Khoya Gilori,7,1
Khoya Kadam,7,1
Khoya Katori,7,1
Khoya Khinni,7,1
Khoya Mewa Laddoo,7,1
Khoya Mix,9,1
Khoya Parwal,7,1
Khoya Plain Barfi,7,1
Khoya Roll,7,1
Khoya Tirangi Barfi,7,1
Khurma,2,1
Kismis,3,1
Laccha Soanpapdi,2,1
Lachha Badam Namkeen,10,2
Lachha Sohan Papdi,2,1
Lal Peda,7,1
Lauki Mewa Laddoo,7,1
Laung Latta,2,1
Madhumati,7,1
Magdal,2,1
Makhan Bari,10,2
Makhana,3,1
Malai Barfi,7,1
Malai Cake,8,1
Malai Fruiti,8,1
Malai Gilori,8,1
Malai Rasmadhuri,1,1
Malai Sandwich,7,1
Malai Sandwich,8,1
Malpua,7,1
Mamra Badam Barfi,8,1
Mamra Pista Badam,8,1
Manchali,1,1
Masala Mathari,10,2
Masoor Namkeen,10,2
Matar Paneer Samosa,13,3
Matar Tikki,13,3
Mathari Namkeen,10,2
Mathura Peda,7,1
Maysore Pak,2,1
Meetha Math,12,1
Methi Mathari,10,2
Mewa Chikki,8,1
Mewa Falahari Namkeen,10,2
Milk Cake,7,1
Milk Pudding,7,1
Mini Gujhiya,2,1
Mix Chikki,8,1
Mixture Namkeen,10,2
Moong Halwa,5,1
Moong Mewa Laddoo,2,1
Moong Mewa Namkeen,10,2
Moongfali Chikki,4,1
Moti Pag Barfi,7,1
Namakpara,10,2
Namkeen Bhujiya,10,2
Namkeen Math,12,1
Nariyal Barfi,7,1
Nariyal Gola,3,1
Navratan Gujhiya,2,1
Navratan Laddoo,2,1
Navratan Namkeen,10,2
Orange Gajak,4,1
Orange Karachi Halwa,7,1
Orange Rasgulla,1,3
Orange Sohan Roll,8,1
Palak Chaat,13,3
Palak Mathari,10,2
Paneer Patties,13,3
Papri Chaat,13,3
Parwal,11,1
Petha,11,1
Petha Gareri,11,1
Petha Gilori,11,1
Petha Roll,11,1
Pinni,2,1
Pista Badshah Basant,8,1
Pista Barfi,8,1
Pista Cone,7,1
Pista Gamla,8,1
Pista Gillori,7,1
Pista Pankhuri,8,1
Pista Phool,8,1
Pista Roll,8,1
Pista Salted,3,1
Pizzi Barfi,8,1
Plain Dhokla,13,3
Punjab Bahar,7,1
Rabdi Kulfi,6,1
Rabdi Kulfi Pack,6,1
Rabdi Ras Malai,1,3
Radhapriya Barfi,7,1
Ragda Patties,13,3
Raj Bahar,7,1
Raj Bhog,1,3
Raj Kachauri,13,3
Ras Malai,1,3
Rasgulla,1,3
Rasili Potli,2,1
Rasmadhuri,1,1
Roasted Chiwda Namkeen,10,2
Sada Math,12,1
Sada Mathari,10,2
Sadi Gujhiya,2,1
Safed Peda,7,1
Samosa,13,3
Samosi Namkeen,10,2
Sandesh Barfi,7,1
Sandwich Dhokla,13,3
Sandwich Samosa,13,3
Santra Barfi,11,1
Sem Beej,10,2
Sheesh Bahar,7,1
Soanpapdi,2,1
Sohal,10,2
Sohan Halwa Mawa,2,1
Sohan Roll,2,1
Sonth Laddoo,2,1
Sonth Papdi Chaat,13,3
Special Mewa Pack,14,1
Special Tasty Namkeen,10,2
Sugar Free Gujhiya,2,1
Til Barfi,4,1
Til Chikki,4,1
Til Gajak,4,1
Til Laddoo,4,1
Tilbugga,4,1
Tirangi Gujhiya,2,1
